estimate,application,quantity,width,height,gusset,substrate,finish,seal_type,zipper,actual_price,calc_price,error_pct,direction,hp_total,thermo_total,poucher_total,packing_total,total_cost,labels_per_cycle,gear_teeth
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,5000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.25752,0.21027,18.35,UNDER,309.57,68.48,604.0,69.28,1051.33,8,288
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,10000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.20776,0.17302,16.72,UNDER,576.35,132.02,883.28,138.56,1730.22,8,288
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,25000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.17686,0.15056,14.87,UNDER,1377.54,330.11,1710.01,346.4,3764.05,8,288
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,50000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.16098,0.14461,10.17,UNDER,2712.29,660.11,3165.49,692.8,7230.7,8,288
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,100000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.1499,0.14151,5.6,UNDER,5382.21,1320.23,6063.18,1385.6,14151.22,8,288
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,250000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.14529,0.13954,3.96,UNDER,13391.99,3300.57,14728.77,3464.0,34885.32,8,288
6479,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,5000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,0.20449,0.17329,15.26,UNDER,251.62,48.77,496.8,69.28,866.46,10,280
6479,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,10000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,0.15991,0.14115,11.73,UNDER,460.76,97.53,714.62,138.56,1411.48,10,280
6479,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,25000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,0.13236,0.12107,8.53,UNDER,1088.19,234.45,1357.74,346.4,3026.78,10,280
6479,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,50000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,0.11874,0.11571,2.55,UNDER,2133.9,468.89,2489.98,692.8,5785.58,10,280
