estimate,application,quantity,width,height,gusset,substrate,finish,seal_type,zipper,actual_price,calc_price,error_pct,direction,hp_total,thermo_total,poucher_total,packing_total,total_cost,combined_spoilage,hp_speed,labels_per_cycle,gear_teeth,total_frames
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,5000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.25752,0.22665,11.99,UNDER,364.93,88.62,606.67,73.05,1133.27,10.3,73.5,8,288,841
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,10000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.20776,0.18335,11.75,UNDER,646.28,155.62,885.54,146.1,1833.54,9.8,73.5,8,288,1524
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,25000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.17686,0.15706,11.2,UNDER,1486.63,364.76,1709.77,365.25,3926.41,9.2,73.5,8,288,3564
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,50000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.16098,0.14964,7.05,UNDER,2879.38,711.39,3160.61,730.5,7481.87,8.7,73.5,8,288,6945
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,100000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.1499,0.14563,2.85,UNDER,5652.1,1401.47,6048.74,1461.0,14563.31,8.2,73.5,8,288,13676
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,250000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.14529,0.143,1.58,UNDER,13945.16,3465.44,14686.28,3652.5,35749.38,7.7,73.5,8,288,33808
6479,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,5000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,0.20449,0.1864,8.84,UNDER,294.93,63.16,500.88,73.05,932.02,10.8,71.5,10,280,675
6479,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,10000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,0.15991,0.14898,6.83,UNDER,515.67,110.34,717.74,146.1,1489.85,9.8,71.5,10,280,1219
6479,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,25000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,0.13236,0.12644,4.47,UNDER,1177.86,258.9,1359.1,365.25,3161.12,9.2,71.5,10,280,2851
6479,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,50000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,0.11874,0.11997,1.04,OVER,2275.44,505.13,2487.58,730.5,5998.65,8.7,71.5,10,280,5556
