est_no,fl_num,width,height,gusset,substrate,finish,seal_type,zipper,tear_notch,corners,gusset_detail,quantity,lt_price,calc_price,error_pct,abs_error_pct,has_addcost,layout_around,lt_around,layout_match,layout_gear,layout_repeat,stock_length,spoilage,c_substrate,c_priming,c_clicks,c_hp_makeready,c_hp_running,c_laminate,c_thermo_labor,c_zipper,c_poucher_labor,c_sealer,c_packaging
6556,FL-DL-1439 Cost Only,6.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,5000,0.31769,0.28289289186376676,-10.95316444843502,10.95316444843502,False,5,5,Y,260,32.5,3439.5833333333335,0.103,233.41012500000002,21.463,132.84199999999998,31.25,93.86446886446886,96.046925,25.796875,206.200200375,493.5793650793651,10.7315,69.28
6556,FL-DL-1439 Cost Only,6.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,10000,0.27608,0.2399663073461606,-13.080879692060057,13.080879692060057,False,5,5,Y,260,32.5,6399.791666666667,0.098,434.28986249999997,39.9347,247.16979999999998,31.25,186.80664573521716,178.70778249999998,39.99869791666667,383.6622625875,699.3159722222223,19.96735,138.56
6556,FL-DL-1439 Cost Only,6.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,25000,0.25551,0.2182329719655742,-14.589263838763966,14.589263838763966,False,5,5,Y,260,32.5,15172.083333333334,0.087,1029.5775749999998,94.6738,585.9692,31.25,462.23181580324433,423.66525499999995,94.82552083333334,909.553954725,1430.3402777777778,47.3369,346.4
6556,FL-DL-1439 Cost Only,6.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,50000,0.24808,0.21163340763489308,-14.691467415796081,14.691467415796081,False,5,5,Y,260,32.5,29891.875,0.087,2028.4626374999998,186.5253,1154.4702,31.25,924.3916797488225,834.7007174999999,186.82421875000003,1791.9933949125002,2656.9895833333335,93.26265,692.8
6556,FL-DL-1439 Cost Only,6.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,100000,0.2438,0.2065748596617861,-15.268720401236216,15.268720401236216,False,5,5,Y,260,32.5,58789.79166666667,0.077,3989.4752625,366.84830000000005,2270.5522,31.25,1831.7046049188905,1641.6461425,367.4361979166667,3524.3998027875,5065.149305555556,183.42415000000003,1385.6
6553,FL-DL-1435 Cost Only,4.5,5.0,2.0,WHT MET PET,Matte,Stand Up Pouch,None,Standard,Rounded,K-Seal,5000,0.2045,0.19689872725079366,-3.717003789342948,3.717003789342948,False,8,8,Y,288,36.0,2547.0,0.103,172.83942,15.89328,88.80539999999999,31.25,58.73015873015873,71.122428,19.1025,0,449.5238095238095,7.94664,69.28
6553,FL-DL-1435 Cost Only,4.5,5.0,2.0,WHT MET PET,Matte,Stand Up Pouch,None,Standard,Rounded,K-Seal,10000,0.16998,0.15557031623219955,-8.477281896576327,8.477281896576327,False,8,8,Y,288,36.0,4596.0,0.098,311.88456,28.67904,160.2472,31.25,116.80839002267574,128.338704,28.724999999999998,0,596.8707482993196,14.33952,138.56
6553,FL-DL-1435 Cost Only,4.5,5.0,2.0,WHT MET PET,Matte,Stand Up Pouch,None,Standard,Rounded,K-Seal,25000,0.14773,0.1306293308901587,-11.575623847452302,11.575623847452302,False,8,8,Y,288,36.0,10716.0,0.092,727.1877599999999,66.86784,373.6312,31.25,290.2777777777778,299.23358399999995,66.975,0,1030.4761904761906,33.43392,346.4
6553,FL-DL-1435 Cost Only,4.5,5.0,2.0,WHT MET PET,Matte,Stand Up Pouch,None,Standard,Rounded,K-Seal,50000,0.14164,0.12376310428507938,-12.62136099613147,12.62136099613147,False,8,8,Y,288,36.0,20859.0,0.087,1415.49174,130.16016,727.2837999999999,31.25,577.7777777777777,582.4667159999999,130.36875,0,1835.4761904761904,65.08008,692.8
6553,FL-DL-1435 Cost Only,4.5,5.0,2.0,WHT MET PET,Matte,Stand Up Pouch,None,Standard,Rounded,K-Seal,100000,0.13833,0.12010141760702948,-13.177606009521089,13.177606009521089,False,8,8,Y,288,36.0,41055.0,0.082,2785.9923,256.1832,1431.451,31.25,1150.2267573696145,1146.4198199999998,256.59375,0,3438.3333333333335,128.0916,1385.6
6553,FL-DL-1435 Cost Only,4.5,5.0,2.0,WHT MET PET,Matte,Stand Up Pouch,None,Standard,Rounded,K-Seal,250000,0.13559,0.1177063086747574,-13.189535603837003,13.189535603837003,False,8,8,Y,288,36.0,101448.0,0.077,6884.261280000001,633.03552,3537.1535999999996,31.25,2862.046485260771,2832.833952,634.05,0,8231.428571428572,316.51776,3464.0
