estimate,application,quantity,width,height,gusset,substrate,finish,seal_type,zipper,tear_notch,corners,cmykovg_colors,white_colors,actual_price,calc_price,error_pct,direction,hp_cost,thermo_cost,poucher_cost,total_cost,labels_per_cycle,gear_teeth,no_across,no_around,run_ft
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,5000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.25752,0.19428,24.56,UNDER,250.93,97.62,622.84,971.38,8,288,1,8,2016.0
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,10000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.20776,0.15269,26.51,UNDER,459.16,167.44,900.32,1526.92,8,288,1,8,3927.0
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,25000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.17686,0.12662,28.41,UNDER,1084.52,355.34,1725.69,3165.55,8,288,1,8,9666.0
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,50000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.16098,0.11986,25.54,UNDER,2126.35,685.5,3181.1,5992.95,8,288,1,8,19227.0
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,100000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.1499,0.11635,22.38,UNDER,4210.34,1345.92,6078.71,11634.97,8,288,1,8,38352.0
4956,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,250000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.14529,0.11413,21.44,UNDER,10462.3,3327.16,14744.22,28533.68,8,288,1,8,95727.0
6479,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,5000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.20449,0.15968,21.91,UNDER,206.05,76.72,515.64,798.41,10,280,1,10,1589.6
6479,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,10000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.15991,0.12279,23.21,UNDER,369.61,126.6,731.67,1227.88,10,280,1,10,3077.1
6479,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,25000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.13236,0.09972,24.66,UNDER,860.32,259.27,1373.44,2493.03,10,280,1,10,7539.6
6479,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,50000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.11874,0.09355,21.21,UNDER,1678.17,493.83,2505.6,4677.61,10,280,1,10,14977.1
6479,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,100000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.10952,0.09036,17.49,UNDER,3313.87,962.96,4759.3,9036.13,10,280,1,10,29852.1
6479,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,250000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.10555,0.08836,16.28,UNDER,8220.96,2370.34,11499.14,22090.44,10,280,1,10,74477.1
