fl_number,quantity,width,height,gusset,substrate,finish,seal_type,zipper,tear_notch,hole_punch,corners,actual_unit_price,calculated_unit_price,error_pct,direction,hp_cost,thermo_cost,poucher_cost,total_cost,labels_per_cycle,gear_teeth,no_across,no_around
FL-DL-1002,50000,2.0,5.5,0,MET PET,Matte,3 Side Seal,CR Zipper,None,None,Straight,0.10813,0.05522,48.93,UNDER,952.99,318.67,1489.35,2761.01,19,304,1,19
FL-DL-1002,100000,2.0,5.5,0,MET PET,Matte,3 Side Seal,CR Zipper,None,None,Straight,0.09882,0.0526,46.77,UNDER,1863.88,612.27,2783.71,5259.86,19,304,1,19
FL-DL-1002,150000,2.0,5.5,0,MET PET,Matte,3 Side Seal,CR Zipper,None,None,Straight,0.09435,0.05163,45.28,UNDER,2774.09,905.66,4064.65,7744.4,19,304,1,19
FL-DL-1002,200000,2.0,5.5,0,MET PET,Matte,3 Side Seal,CR Zipper,None,None,Straight,0.09323,0.05122,45.06,UNDER,3684.97,1199.26,5359.23,10243.46,19,304,1,19
FL-DL-1002,250000,2.0,5.5,0,MET PET,Matte,3 Side Seal,CR Zipper,None,None,Straight,0.09277,0.05097,45.06,UNDER,4595.52,1492.75,6653.33,12741.6,19,304,1,19
FL-DL-1002,300000,2.0,5.5,0,MET PET,Matte,3 Side Seal,CR Zipper,None,None,Straight,0.09247,0.05067,45.2,UNDER,5506.07,1786.25,7909.87,15202.19,19,304,1,19
FL-DL-1651,10000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.17688,0.15069,14.81,UNDER,459.16,167.44,880.32,1506.92,8,288,1,8
FL-DL-1651,25000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.15194,0.12582,17.19,UNDER,1084.52,355.34,1705.69,3145.55,8,288,1,8
FL-DL-1651,50000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.14495,0.11946,17.59,UNDER,2126.35,685.5,3161.1,5972.95,8,288,1,8
FL-DL-1651,100000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.14127,0.11615,17.78,UNDER,4210.34,1345.92,6058.71,11614.97,8,288,1,8
FL-DL-1651,250000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.13822,0.11405,17.48,UNDER,10462.3,3327.16,14724.22,28513.68,8,288,1,8
FL-DL-1650,10000,2.5,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Straight,0.1131,0.09901,12.46,UNDER,270.93,105.62,613.54,990.09,15,300,1,15
FL-DL-1650,25000,2.5,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Straight,0.08839,0.07397,16.31,UNDER,613.82,208.57,1026.93,1849.33,15,300,1,15
FL-DL-1650,50000,2.5,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Straight,0.08268,0.06842,17.25,UNDER,1185.3,392.02,1843.59,3420.9,15,300,1,15
FL-DL-1650,100000,2.5,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Straight,0.0795,0.06548,17.63,UNDER,2328.25,758.92,3461.08,6548.24,15,300,1,15
FL-DL-1650,250000,2.5,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Straight,0.07693,0.0635,17.45,UNDER,5757.11,1859.61,8259.36,15876.07,15,300,1,15
FL-CQ-1644,5000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Rounded,0.22132,0.196,11.44,UNDER,250.93,97.62,631.45,980.0,8,288,1,8
