vendor,fl_number,bag_desc,raw_size,substrate,finish,embellishment,fill_style,seal_type,gusset_type,zipper,tear_notch,hole_punch,corner_treatment,width,height,gusset,print_method,source_type,print_width,bag_area_sqin
dazpak,FL-DL-1495,,4W X 6.5H X 1.75G,MET PET,Matte Laminate,None,Top,Stand Up,Flat Bottom / Side Gusset,CR Zipper,Standard,None,Straight,4.0,6.5,1.75,flexographic,spreadsheet,14.75,26.0
dazpak,FL-DL-1491,,5W X 14.5H,High Barrier CLR PET,Soft Touch Laminate,None,Top,3 Side Seal,None,CR Zipper,Standard,None,Rounded,5.0,14.5,0.0,flexographic,spreadsheet,29.0,72.5
dazpak,FL-DL-1470,,3.5W X 4.5H,MET PET,Matte Laminate,None,Top,3 Side Seal,None,No Zipper,Standard,None,Rounded,3.5,4.5,0.0,flexographic,spreadsheet,9.0,15.75
dazpak,FL-DL-1455,,5.25W X 4.65H X 2.5G,HB CLR PET,Matte Laminate,None,Top,3 Side Seal,None,Standard CR,Standard,None,Straight,5.25,4.65,2.5,flexographic,spreadsheet,11.8,24.4125
dazpak,FL-DL-1368,,4W X 6H X 2G,MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,Round,Straight,4.0,6.0,2.0,flexographic,spreadsheet,14.0,24.0
dazpak,FL-DL-1369,,5.25W X 4.65H X 2.5G,Wht Met PET,Soft Touch Laminate,None,Top,3 Side Seal,None,Standard CR,Standard,None,Straight,5.25,4.65,2.5,flexographic,spreadsheet,11.8,24.4125
ross,FL-DL-1344,,6W X 5.5H X 2.5G,CLR PET,Matte Laminate,None,Top,Stand Up,K Seal,Standard CR,Standard,None,Rounded,6.0,5.5,2.5,digital,spreadsheet,13.5,33.0
ross,FL-DL-1343,,5.5W X 7H X 2.5G,CLR PET,Matte Laminate,None,Top,Stand Up,K Seal,Standard CR,Standard,None,Rounded,5.5,7.0,2.5,digital,spreadsheet,16.5,38.5
dazpak,FL-DL-1289,,5.25W X 6.75H,MET PET,Soft Touch Laminate,None,Bottom,3 Side Seal,None,Standard CR,Standard,None,Straight,5.25,6.75,0.0,flexographic,spreadsheet,13.5,35.4375
ross,FL-DL-1340,,4.527W X 5.9055H X 1.968G,CLR PET,Matte Laminate,None,Top,Stand Up,K Seal,Standard CR,Standard,None,Rounded,4.527,5.9055,1.968,digital,spreadsheet,13.779,26.7341985
