Bag ID,width,height,gusset,quantity,substrate,finish,embellishment,fill_style,seal_type,gusset_type,zipper,tear_notch,hole_punch,corner_treatment,print_method,created_at,vendor,unit_price
CQ-48888283252,4.0,6.5,1.7,10000,HB_CLR_PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,None,None,Straight,gravure,2026-03-07,tedpack_air,0.197
CQ-48888283252,4.0,6.5,1.7,25000,HB_CLR_PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,None,None,Straight,gravure,2026-03-07,tedpack_air,0.124
CQ-48888283252,4.0,6.5,1.7,50000,HB_CLR_PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,None,None,Straight,gravure,2026-03-07,tedpack_air,0.11
CQ-48888283252,4.0,6.5,1.7,100000,HB_CLR_PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,None,None,Straight,gravure,2026-03-07,tedpack_air,0.1
CQ-4888468544,5.0,8.15,2.36,10000,HB_CLR_PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,None,None,Straight,gravure,2026-03-07,tedpack_air,0.23
CQ-4888468544,5.0,8.15,2.36,25000,HB_CLR_PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,None,None,Straight,gravure,2026-03-07,tedpack_air,0.158
CQ-4888468544,5.0,8.15,2.36,50000,HB_CLR_PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,None,None,Straight,gravure,2026-03-07,tedpack_air,0.152
CQ-4888468544,5.0,8.15,2.36,100000,HB_CLR_PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,None,None,Straight,gravure,2026-03-07,tedpack_air,0.144
CQ-4888407123,3.62,5.0,1.57,50000,HB_CLR_PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,None,None,Straight,gravure,2026-03-07,tedpack_air,0.088
CQ-4888407123,3.62,5.0,1.57,100000,HB_CLR_PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,None,None,Straight,gravure,2026-03-07,tedpack_air,0.083
CQ-4888407123,3.62,5.0,1.57,250000,HB_CLR_PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,None,None,Straight,gravure,2026-03-07,tedpack_air,0.078
CQ-49460422966,5.0,4.5,2.0,50000,HB_CLR_PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,None,None,Rounded,gravure,2026-03-07,tedpack_air,0.097
CQ-49460422966,5.0,4.5,2.0,100000,HB_CLR_PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,None,None,Rounded,gravure,2026-03-07,tedpack_air,0.091
CQ-49460422966,5.0,4.5,2.0,250000,HB_CLR_PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,None,None,Rounded,gravure,2026-03-07,tedpack_air,0.084
CQ-49544170416,4.0,5.1,0.0,25000,MET_PET,Matte Laminate,None,Top,3 Side Seal,None,CR Zipper,None,None,Rounded,gravure,2026-03-07,tedpack_air,0.097
CQ-49544170416,4.0,5.1,0.0,50000,MET_PET,Matte Laminate,None,Top,3 Side Seal,None,CR Zipper,None,None,Rounded,gravure,2026-03-07,tedpack_air,0.079
CQ-49544170416,4.0,5.1,0.0,100000,MET_PET,Matte Laminate,None,Top,3 Side Seal,None,CR Zipper,None,None,Rounded,gravure,2026-03-07,tedpack_air,0.076
CQ-49544170416,4.0,5.1,0.0,250000,MET_PET,Matte Laminate,None,Top,3 Side Seal,None,CR Zipper,None,None,Rounded,gravure,2026-03-07,tedpack_air,0.072
CQ-49460426847,3.2,5.5,0.0,25000,MET_PET,Matte Laminate,None,Top,3 Side Seal,None,CR Zipper,None,None,Rounded,gravure,2026-03-07,tedpack_air,0.082
CQ-49460426847,3.2,5.5,0.0,50000,MET_PET,Matte Laminate,None,Top,3 Side Seal,None,CR Zipper,None,None,Rounded,gravure,2026-03-07,tedpack_air,0.067
CQ-49460426847,3.2,5.5,0.0,100000,MET_PET,Matte Laminate,None,Top,3 Side Seal,None,CR Zipper,None,None,Rounded,gravure,2026-03-07,tedpack_air,0.064
CQ-49460426847,3.2,5.5,0.0,250000,MET_PET,Matte Laminate,None,Top,3 Side Seal,None,CR Zipper,None,None,Rounded,gravure,2026-03-07,tedpack_air,0.059
CQ-49389133708,3.5,5.0,2.0,10000,CLR_PET,Matte Laminate,Spot UV,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,None,None,Straight,gravure,2026-03-06,tedpack_air,0.123
CQ-49389133708,3.5,5.0,2.0,25000,CLR_PET,Matte Laminate,Spot UV,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,None,None,Straight,gravure,2026-03-06,tedpack_air,0.083
CQ-49389133708,3.5,5.0,2.0,50000,CLR_PET,Matte Laminate,Spot UV,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,None,None,Straight,gravure,2026-03-06,tedpack_air,0.073
CQ-49389133708,3.5,5.0,2.0,100000,CLR_PET,Matte Laminate,Spot UV,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,None,None,Straight,gravure,2026-03-06,tedpack_air,0.071
CQ-49389133708,3.5,5.0,2.0,150000,CLR_PET,Matte Laminate,Spot UV,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,None,None,Straight,gravure,2026-03-06,tedpack_air,0.068
CQ-49389133708,3.5,5.0,2.0,250000,CLR_PET,Matte Laminate,Spot UV,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,None,None,Straight,gravure,2026-03-06,tedpack_air,0.065
