fl_number,width,height,gusset,substrate,finish,seal_type,zipper,quantity,unit_price,known_unit_cost,residual,residual_pct,known_pct,click_cost_per_unit,priming_per_unit,hp_labor_per_unit,converting_per_unit,zipper_per_unit,no_across,no_around,stock_width,stock_length_ft,labels_per_cycle
FL-CQ-0687,5.0,6.5,2.5,,,Stand Up,Presto CR Zipper,10000,0.6271,0.16782803189028214,0.4592719681097178,73.23743710886905,26.76256289113094,0.04507635,0.005622750000000001,0.037149764890282135,0.055,0.024979166999999997,1,8,15.75,4250.0,8
FL-CQ-0687,5.0,6.5,2.5,,,Stand Up,Presto CR Zipper,25000,0.50212,0.16133515589028213,0.3407848441097179,67.86920339952957,32.13079660047043,0.044758163999999996,0.005583060000000001,0.03101476489028213,0.055,0.024979166999999997,1,8,15.75,10550.0,8
FL-CQ-0687,5.0,6.5,2.5,,,Stand Up,Presto CR Zipper,50000,0.46508,0.15917086389028212,0.30590913610971787,65.77559475998062,34.22440524001938,0.04465210199999999,0.0055698300000000004,0.02896976489028213,0.055,0.024979166999999997,1,8,15.75,21050.0,8
FL-CQ-0687,5.0,6.5,2.5,,,Stand Up,Presto CR Zipper,100000,0.44632,0.15808871789028212,0.2882312821097179,64.57951293012141,35.42048706987859,0.044599071,0.005563215,0.027947264890282132,0.055,0.024979166999999997,1,8,15.75,42050.0,8
FL-CQ-0687,5.0,6.5,2.5,,,Stand Up,Presto CR Zipper,150000,0.43701,0.1577280025569488,0.2792819974430512,63.90746148670539,36.09253851329461,0.044581394,0.005561010000000001,0.027606431556948797,0.055,0.024979166999999997,1,8,15.75,63050.0,8
FL-CQ-0687,5.0,6.5,2.5,,,Stand Up,Presto CR Zipper,200000,0.43087,0.1575476448902821,0.27332235510971786,63.4349931788516,36.5650068211484,0.0445725555,0.005559907500000001,0.02743601489028213,0.055,0.024979166999999997,1,8,15.75,84050.0,8
FL-CQ-0709,4.5,6.0,2.0,,,Stand Up,Presto CR Zipper,5000,0.5242,0.13566124458847864,0.3885387554115214,74.12032724370877,25.87967275629123,0.020929568,0.004783212,0.03246721428847866,0.055,0.022481250299999995,2,9,28.5,999.0,18
FL-CQ-0709,4.5,6.0,2.0,,,Stand Up,Presto CR Zipper,10000,0.3928,0.12471597853096869,0.2680840214690313,68.24949630066989,31.750503699330118,0.020363904,0.004653936,0.02221688823096869,0.055,0.022481250299999995,2,9,28.5,1944.0,18
FL-CQ-0709,4.5,6.0,2.0,,,Stand Up,Presto CR Zipper,25000,0.31388,0.11814881889646268,0.19573118110353732,62.35860236508771,37.64139763491229,0.0200245056,0.0045763704,0.01606669259646271,0.055,0.0224812503,2,9,28.5,4779.0,18
FL-CQ-0709,4.5,6.0,2.0,,,Stand Up,Presto CR Zipper,50000,0.28654,0.1159597656849607,0.17058023431503933,59.53103731243083,40.468962687569174,0.0199113728,0.004550515200000001,0.014016627384960718,0.055,0.0224812503,2,9,28.5,9504.0,18
FL-CQ-0709,4.5,6.0,2.0,,,Stand Up,Presto CR Zipper,100000,0.27216,0.11486523907920972,0.1572947609207903,57.79495918606345,42.20504081393655,0.0198548064,0.0045375876,0.01299159477920972,0.055,0.0224812503,2,9,28.5,18954.0,18
FL-CQ-0709,4.5,6.0,2.0,,,Stand Up,Presto CR Zipper,250000,0.26372,0.11420852311575912,0.14951147688424088,56.693264403246204,43.306735596753796,0.019820866559999997,0.004529831040000001,0.012376575215759123,0.055,0.022481250299999995,2,9,28.5,47304.0,18
FL-CQ-0706,8.75,10.25,4.0,,,Stand Up,Presto CR Zipper,5000,0.8394,0.27891347336374833,0.5604865266362518,66.77228099073764,33.227719009262366,0.09036482399999998,0.015498945000000004,0.07433616211374833,0.055,0.04371354225,1,4,24.75,3727.5,4
FL-CQ-0706,8.75,10.25,4.0,,,Stand Up,Presto CR Zipper,10000,0.7962,0.2679246376971563,0.5282753623028438,66.3495807966395,33.6504192033605,0.08972845199999999,0.0153897975,0.0640928459471563,0.055,0.04371354225,1,4,24.75,7402.5,4
FL-CQ-0706,8.75,10.25,4.0,,,Stand Up,Presto CR Zipper,25000,0.76948,0.26133133629720107,0.508148663702799,66.03792999204644,33.96207000795356,0.0893466288,0.015324309000000001,0.057946856247201084,0.055,0.04371354225,1,4,24.75,18427.5,4
FL-CQ-0706,8.75,10.25,4.0,,,Stand Up,Presto CR Zipper,50000,0.76116,0.2591335691638827,0.5020264308361173,65.95544049031969,34.04455950968032,0.08921935439999999,0.015302479500000002,0.05589819301388267,0.055,0.04371354225,1,4,24.75,36802.5,4
FL-CQ-0706,8.75,10.25,4.0,,,Stand Up,Presto CR Zipper,100000,0.7453,0.2580346855972235,0.4872653144027765,65.37841331044902,34.62158668955099,0.0891557172,0.01529156475,0.05487386139722347,0.055,0.04371354225,1,4,24.75,73552.5,4
FL-CQ-0706,8.75,10.25,4.0,,,Stand Up,Presto CR Zipper,250000,0.73426,0.25737535545722795,0.4768846445427721,64.94765403845668,35.05234596154331,0.08911753488,0.0152850159,0.05425926242722796,0.055,0.04371354225,1,4,24.75,183802.5,4
,6.0,8.0,3.15,,,Stand Up,Standard Other: RoundCorners,25000,0.51524,0.17923652584788177,0.3360034741521183,65.21300251380295,34.786997486197066,0.051136025599999996,0.00824968704,0.03487581280788178,0.055,0.029975000399999993,1,7,19.4,12656.0,7
,6.0,8.0,3.15,,,Stand Up,Standard Other: RoundCorners,50000,0.49432,0.17705281506124496,0.31726718493875505,64.18255076443499,35.817449235565014,0.05102289279999999,0.008231435520000002,0.03282348634124497,0.055,0.029975000399999993,1,7,19.4,25256.0,7
,6.0,8.0,3.15,,,Stand Up,Standard Other: RoundCorners,75000,0.48669,0.17632491146569937,0.31036508853430067,63.770590834884764,36.22940916511524,0.050985181866666666,0.00822535168,0.032139377519032696,0.055,0.029975000399999997,1,7,19.4,37856.0,7
,6.0,8.0,3.15,,,Stand Up,Standard Other: RoundCorners,100000,0.48047,0.17596095966792655,0.3045090403320735,63.3773264370457,36.622673562954304,0.05096632639999999,0.00822230976,0.03179732310792656,0.055,0.029975000399999993,1,7,19.4,50456.0,7
,6.0,8.0,3.15,,,Stand Up,Standard Other: RoundCorners,250000,0.46386,0.17530584643193553,0.28855415356806446,62.20716456863374,37.792835431366264,0.05093238656,0.008216834304,0.031181625167935517,0.055,0.029975000399999993,1,7,19.4,126056.0,7
,6.0,8.0,3.15,,,Stand Up,Standard Other: RoundCorners,500000,0.46177,0.17508747535327182,0.28668252464672817,62.08340183353794,37.91659816646205,0.05092107328,0.008215009152,0.030976392521271837,0.055,0.029975000399999993,1,7,19.4,252056.0,7
,6.0,6.0,3.0,,,Stand Up,Standard Other: RoundCorners,25000,0.51484,0.17768439400788177,0.3371556059921182,65.48745357627966,34.51254642372034,0.051136025599999996,0.0066975552,0.03487581280788178,0.055,0.029975000399999993,1,7,15.75,12656.0,7
,6.0,6.0,3.0,,,Stand Up,Standard Other: RoundCorners,50000,0.4939,0.17550411714124498,0.31839588285875503,64.46565759440271,35.53434240559728,0.05102289279999999,0.0066827376,0.03282348634124497,0.055,0.029975000399999993,1,7,15.75,25256.0,7
,6.0,6.0,3.0,,,Stand Up,Standard Other: RoundCorners,75000,0.48625,0.17477735818569937,0.3114726418143007,64.05607029600013,35.94392970399986,0.050985181866666666,0.0066777984,0.032139377519032696,0.055,0.029975000399999997,1,7,15.75,37856.0,7
,6.0,6.0,3.0,,,Stand Up,Standard Other: RoundCorners,100000,0.48003,0.17441397870792655,0.30561602129207344,63.66602530926681,36.33397469073319,0.05096632639999999,0.0066753288,0.03179732310792656,0.055,0.029975000399999993,1,7,15.75,50456.0,7
